TEAMS,APP
Alabama,6
Alabama-Birmingham,1
Arizona,17
Arizona State,1
Arkansas,6
Auburn,4
Ball State,1
Baylor,4
Boston College,3
Bradley,1
Brigham Young,1
Butler,5
California,2
Chattanooga,1
Cincinnati,5
Clemson,2
Cleveland State,1
Connecticut,14
Cornell,1
Davidson,1
Dayton,1
DePaul,2
Duke,23
Eastern Michigan,1
Florida,11
Florida Gulf Coast,1
Florida State,2
George Mason,1
George Washington,1
Georgetown,8
Georgia,1
Georgia Tech,6
Gonzaga,8
Illinois,6
Indiana,10
Iowa,3
Iowa State,5
Kansas,21
Kansas State,2
Kent State,1
Kentucky,20
La Salle,1
Louisiana Tech,1
Louisville,14
Loyola (Ill.),1
Loyola Marymount,1
LSU,4
Marquette,5
Maryland,9
Massachusetts,3
Memphis,7
Miami (Fla.),3
Miami (Ohio),1
Michigan,8
Michigan State,15
Milwaukee,1
Minnesota,3
Mississippi,1
Mississippi State,2
Missouri,4
Missouri State,1
Navy,1
Nevada,1
New Mexico State,1
North Carolina,22
North Carolina State,6
Northern Iowa,1
Notre Dame,4
Ohio,1
Ohio State,8
Oklahoma,10
Oklahoma State,6
Oregon,5
Penn State,1
Pittsburgh,5
Providence,2
Purdue,8
Rhode Island,2
Richmond,2
San Diego State,2
Seton Hall,4
South Carolina,1
Southern California,2
Southern Illinois,2
St. John's,3
St. Joseph's,2
St. Mary's (Cal.),1
Stanford,4
Syracuse,14
Temple,5
Tennessee,5
Texas,7
Texas A&M,2
Texas Tech,2
Tulsa,3
UCLA,14
UNLV,6
Utah,6
UTEP,1
Valparaiso,1
Vanderbilt,4
Villanova,7
Virginia,5
Virginia Commonwealth,1
Wake Forest,4
Washington,4
Washington State,1
West Virginia,7
Western Kentucky,2
Wichita State,3
Wisconsin,10
Wyoming,1
Xavier,8
